CodeID,CPTCode,Description
4892,52345,"Cystourethroscopy with ureteroscopy; with treatment of ureteropelvic junction stricture (eg, balloon dilation, laser, electrocautery, and incision)"
4893,52351,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; diagnostic"
4894,52300,"Cystourethroscopy; with resection or fulguration of orthotopic ureterocele(s), unilateral or bilateral"
4895,27602,"Decompression fasciotomy, leg; anterior and/or lateral, and posterior compartment(s)"
4896,27601,"Decompression fasciotomy, leg; posterior compartment(s) only"
4897,64726,Decompression; plantar digital nerve
4898,17110,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; up to 14 lesions"
4899,46922,"Destruction of lesion(s), anus (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle), simple; surgical excision"
4900,56515,"Destruction of lesion(s), vulva; extensive (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
4901,57061,"Destruction of vaginal lesion(s); simple (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery)"
4902,35141,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, common femoral artery (profunda femoris, superficial femoral)"
4903,35045,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, radial or ulnar artery"
4904,26020,"Drainage of tendon sheath, digit and/or palm, each"
4905,42975,"Drug-induced sleep endoscopy, with dynamic evaluation of velum, pharynx, tongue base, and larynx for evaluation of sleep-disordered breathing, flexible, diagnostic"
4906,29893,Endoscopic plantar fasciotomy
4907,29848,"Endoscopy, wrist, surgical, with release of transverse carpal ligament"
4908,67961,"Excision and repair of eyelid, involving lid margin, tarsus, conjunctiva, canthus, or full thickness, may include preparation for skin graft or pedicle flap with adjacent tissue transfer or rearrangement; up to one-fourth of lid margin"
4909,42815,"Excision branchial cleft cyst, vestige, or fistula, extending beneath subcutaneous tissues and/or into pharynx"
4910,30130,"Excision inferior turbinate, partial or complete, any method"
4911,19126,"Excision of breast lesion identified by preoperative placement of radiological marker, open; each additional lesion separately identified by a preoperative radiological marker (List separately in addition to code for primary procedure)"
4912,57550,"Excision of cervical stump, vaginal approach"
4913,57555,"Excision of cervical stump, vaginal approach; with anterior and/or posterior repair"
4914,25111,"Excision of ganglion, wrist (dorsal or volar); primary"
4915,25112,"Excision of ganglion, wrist (dorsal or volar); recurrent"
4916,55041,Excision of hydrocele; bilateral
4917,27347,"Excision of lesion of meniscus or capsule (eg, cyst, ganglion), knee"
4918,27630,"Excision of lesion of tendon sheath or capsule (eg, cyst or ganglion), leg and/or ankle"
4919,26160,"Excision of lesion of tendon sheath or joint capsule (eg, cyst, mucous cyst, or ganglion), hand or finger"
4920,41112,Excision of lesion of tongue with closure; anterior two-thirds
4921,41115,Excision of lingual frenum (frenectomy)
4922,21032,Excision of maxillary torus palatinus
4923,64782,"Excision of neuroma; hand or foot, except digital nerve"
4924,42415,"Excision of parotid tumor or parotid gland; lateral lobe, with dissection and preservation of facial nerve"
4925,42425,"Excision of parotid tumor or parotid gland; total, en bloc removal with sacrifice of facial nerve"
4926,11772,Excision of pilonidal cyst or sinus; complicated
4927,45172,"Excision of rectal tumor, transanal approach; including muscularis propria (ie, full thickness)"
4928,45171,"Excision of rectal tumor, transanal approach; not including muscularis propria (ie, partial thickness)"
4929,11471,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with complex repair"
4930,11470,"Excision of skin and subcutaneous tissue for hidradenitis, perianal, perineal, or umbilical; with simple or intermediate repair"
4931,27345,"Excision of synovial cyst of popliteal space (eg, Baker's cyst)"
4932,60280,Excision of thyroglossal duct cyst or sinus
4933,24120,Excision or curettage of bone cyst or benign tumor of head or neck of radius or olecranon process
4934,26200,Excision or curettage of bone cyst or benign tumor of metacarpal
4935,25120,Excision or curettage of bone cyst or benign tumor of radius or ulna (excluding head or neck of radius and olecranon process)
4936,28108,"Excision or curettage of bone cyst or benign tumor, phalanges of foot"
4937,28103,"Excision or curettage of bone cyst or benign tumor, talus or calcaneus; with allograft"
4938,49203,"Excision or destruction, open, intra-abdominal tumors, cysts or endometriomas, 1 or more peritoneal, mesenteric, or retroperitoneal primary or secondary tumors; largest tumor 5 cm diameter or less"
4939,53260,"Excision or fulguration; urethral polyp(s), distal urethra"
4940,11423,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
4941,11424,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter 3.1 to 4.0 cm"
4942,11426,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
4943,11404,"Excision, benign lesion including margins, except skin tag (unless listed elsewhere), trunk, arms or legs; excised diameter 3.1 to 4.0 cm"
4944,15832,"Excision, excessive skin and subcutaneous tissue (includes lipectomy); thigh"
4945,28080,"Excision, interdigital (Morton) neuroma, single, each"
4946,42106,"Excision, lesion of palate, uvula; with simple primary closure"
4947,11643,"Excision, malignant lesion including margins, face, ears, eyelids, nose, lips; excised diameter 2.1 to 3.0 cm"
4948,11623,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter 2.1 to 3.0 cm"
4949,11626,"Excision, malignant lesion including margins, scalp, neck, hands, feet, genitalia; excised diameter over 4.0 cm"
4950,11602,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 1.1 to 2.0 cm"
4951,11603,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter 2.1 to 3.0 cm"
4952,11606,"Excision, malignant lesion including margins, trunk, arms, or legs; excised diameter over 4.0 cm"
4953,24105,"Excision, olecranon bursa"
4954,26111,"Excision, tumor or vascular malformation, soft tissue of hand or finger, subcutaneous; 1.5 cm or greater"
4955,26115,"Excision, tumor or vascular malformation, soft tissue of hand or finger, subcutaneous; less than 1.5 cm"
4956,22903,"Excision, tumor, soft tissue of abdominal wall, subcutaneous; 3 cm or greater"
4957,22902,"Excision, tumor, soft tissue of abdominal wall, subcutaneous; less than 3 cm"
4958,21930,"Excision, tumor, soft tissue of back or flank, subcutaneous; less than 3 cm"
4959,21933,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); 5 cm or greater"
4960,21014,"Excision, tumor, soft tissue of face and scalp, subfascial (eg, subgaleal, intramuscular); 2 cm or greater"
4961,21012,"Excision, tumor, soft tissue of face or scalp, subcutaneous; 2 cm or greater"
4962,28043,"Excision, tumor, soft tissue of foot or toe, subcutaneous; less than 1.5 cm"
4963,25071,"Excision, tumor, soft tissue of forearm and/or wrist area, subcutaneous; 3 cm or greater"
4964,25075,"Excision, tumor, soft tissue of forearm and/or wrist area, subcutaneous; less than 3 cm"
4965,27618,"Excision, tumor, soft tissue of leg or ankle area, subcutaneous; less than 3 cm"
4966,27634,"Excision, tumor, soft tissue of leg or ankle area, subfascial (eg, intramuscular); 5 cm or greater"
4967,21555,"Excision, tumor, soft tissue of neck or anterior thorax, subcutaneous; less than 3 cm"
4968,21554,"Excision, tumor, soft tissue of neck or anterior thorax, subfascial (eg, intramuscular); 5 cm or greater"
4969,27043,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; 3 cm or greater"
4970,27047,"Excision, tumor, soft tissue of pelvis and hip area, subcutaneous; less than 3 cm"
4971,23071,"Excision, tumor, soft tissue of shoulder area, subcutaneous; 3 cm or greater"
4972,27327,"Excision, tumor, soft tissue of thigh or knee area, subcutaneous; less than 3 cm"
4973,27328,"Excision, tumor, soft tissue of thigh or knee area, subfascial (eg, intramuscular); less than 5 cm"
4974,24073,"Excision, tumor, soft tissue of upper arm or elbow area, subfascial (eg, intramuscular); 5 cm or greater"
4975,26113,"Excision, tumor, soft tissue, or vascular malformation, of hand or finger, subfascial (eg, intramuscular); 1.5 cm or greater"
4976,26116,"Excision, tumor, soft tissue, or vascular malformation, of hand or finger, subfascial (eg, intramuscular); less than 1.5 cm"
4977,26121,"Fasciectomy, palm only, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft)"
4978,26123,"Fasciectomy, partial palmar with release of single digit including proximal interphalangeal joint, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft)"
4979,26125,"Fasciectomy, partial palmar with release of single digit including proximal interphalangeal joint, with or without Z-plasty, other local tissue rearrangement, or skin grafting (includes obtaining graft); each additional digit (List separately in addition to code for primary procedure)"
4980,26040,"Fasciotomy, palmar (eg, Dupuytren's contracture); percutaneous"
4981,15740,Flap; island pedicle requiring identification and dissection of an anatomically named axial vessel
4982,15241,"Full thickness graft, free, including direct closure of donor site, forehead, cheeks, chin, mouth, neck, axillae, genitalia, hands, and/or feet; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
4983,15200,"Full thickness graft, free, including direct closure of donor site, trunk; 20 sq cm or less"
4984,15201,"Full thickness graft, free, including direct closure of donor site, trunk; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
4985,43886,"Gastric restrictive procedure, open; revision of subcutaneous port component only"
4986,21121,"Genioplasty; sliding osteotomy, single piece"
4987,21235,"Graft; ear cartilage, autogenous, to nose or ear (includes obtaining graft)"
4988,15773,"Grafting of autologous fat harvested by liposuction technique to face, eyelids, mouth, neck, ears, orbits, genitalia, hands, and/or feet; 25 cc or less injectate"
4989,28291,"Hallux rigidus correction with cheilectomy, debridement and capsular release of the first metatarsophalangeal joint; with implant"
4990,28289,"Hallux rigidus correction with cheilectomy, debridement and capsular release of the first metatarsophalangeal joint; without implant"
4991,46948,"Hemorrhoidectomy, internal, by transanal hemorrhoidal dearterialization, 2 or more hemorrhoid columns/groups, including ultrasound guidance, with mucopexy, when performed"
4992,58559,"Hysteroscopy, surgical; with lysis of intrauterine adhesions (any method)"
4993,27603,"Incision and drainage, leg or ankle; deep abscess or hematoma"
4994,23030,"Incision and drainage, shoulder area; deep abscess or hematoma"
4995,41010,Incision of lingual frenum (frenotomy)
4996,28005,"Incision, bone cortex (eg, osteomyelitis or bone abscess), foot"
4997,61886,"Insertion or replacement of cranial neurostimulator pulse generator or receiver, direct or inductive coupling; with connection to 2 or more electrode arrays"
4998,0786T,"Insertion or replacement of percutaneous electrode array, sacral, with integrated neurostimulator, including imaging guidance, when performed"
4999,64727,"Internal neurolysis, requiring use of operating microscope (List separately in addition to code for neuroplasty) (Neuroplasty includes external neurolysis)"
5000,15860,"Intravenous injection of agent (eg, fluorescein) to test vascular flow in flap or graft"
5001,63267,"Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; lumbar"
5002,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional vertebral segment, cervical, thoracic, or lumbar (List separately in addition to code for primary procedure)"
5003,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar"
5004,63052,"Laminectomy, facetectomy, or foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s] [eg, spinal or lateral recess stenosis]), during posterior interbody arthrodesis, lumbar; single vertebral segment (List separately in addition to code for primary procedure)"
5005,43280,"Laparoscopy, surgical, esophagogastric fundoplasty (eg, Nissen, Toupet procedures)"
5006,43775,"Laparoscopy, surgical, gastric restrictive procedure; longitudinal gastrectomy (ie, sleeve gastrectomy)"
5007,43644,"Laparoscopy, surgical, gastric restrictive procedure; with gastric bypass and Roux-en-Y gastroenterostomy (roux limb 150 cm or less)"
5008,43282,"Laparoscopy, surgical, repair of paraesophageal hernia, includes fundoplasty, when performed; with implantation of mesh"
5009,58542,"Laparoscopy, surgical, supracervical hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)"
5010,58544,"Laparoscopy, surgical, supracervical hysterectomy, for uterus greater than 250 g; with removal of tube(s) and/or ovary(s)"
5011,58575,"Laparoscopy, surgical, total hysterectomy for resection of malignancy (tumor debulking), with omentectomy including salpingo-oophorectomy, unilateral or bilateral, when performed"
5012,55550,"Laparoscopy, surgical, with ligation of spermatic veins for varicocele"
5013,50541,"Laparoscopy, surgical; ablation of renal cysts"
5014,44202,"Laparoscopy, surgical; enterectomy, resection of small intestine, single resection and anastomosis"
5015,43653,"Laparoscopy, surgical; gastrostomy, without construction of gastric tube (eg, Stamm procedure) (separate procedure)"
5016,54690,"Laparoscopy, surgical; orchiectomy"
5017,54692,"Laparoscopy, surgical; orchiopexy for intra-abdominal testis"
5018,50544,"Laparoscopy, surgical; pyeloplasty"
5019,50947,"Laparoscopy, surgical; ureteroneocystostomy with cystoscopy and ureteral stent placement"
5020,50948,"Laparoscopy, surgical; ureteroneocystostomy without cystoscopy and ureteral stent placement"
5021,58670,"Laparoscopy, surgical; with fulguration of oviducts (with or without transection)"
5022,58660,"Laparoscopy, surgical; with lysis of adhesions (salpingolysis, ovariolysis) (separate procedure)"
5023,58671,"Laparoscopy, surgical; with occlusion of oviducts by device (eg, band, clip, or Falope ring)"
5024,31535,"Laryngoscopy, direct, operative, with biopsy"
5025,52649,"Laser enucleation of the prostate with morcellation, including control of postoperative bleeding, complete (vasectomy, meatotomy, cystourethroscopy, urethral calibration and/or dilation, internal urethrotomy and transurethral resection of prostate are included if performed)"
5026,21282,Lateral canthopexy
5027,26478,"Lengthening of tendon, flexor, hand or finger, each tendon"
5028,37700,"Ligation and division of long saphenous vein at saphenofemoral junction, or distal interruptions"
5029,38308,Lymphangiotomy or other operations on lymphatic channels
5030,56441,Lysis of labial adhesions
5031,26340,"Manipulation, finger joint, under anesthesia, each joint"
5032,69990,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)"
5033,17311,"Mohs micrographic technique, including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and histopathologic preparation including routine stain(s) (eg, hematoxylin and eosin, toluidine blue), head, neck, hands, feet, genitalia, or any location with surgery directly involving muscle, cartilage, bone, tendon, major nerves, or vessels; first stage, up to 5 tissue blocks"
5034,23395,"Muscle transfer, any type, shoulder or upper arm; single"
5035,15733,"Muscle, myocutaneous, or fasciocutaneous flap; head and neck with named vascular pedicle (ie, buccinators, genioglossus, temporalis, masseter, sternocleidomastoid, levator scapulae)"
5036,58146,"Myomectomy, excision of fibroid tumor(s) of uterus, 5 or more intramural myomas and/or intramural myomas with total weight greater than 250 g, abdominal approach"
5037,69620,Myringoplasty (surgery confined to drumhead and donor area)
5038,31254,"Nasal/sinus endoscopy, surgical with ethmoidectomy; partial (anterior)"
5039,31255,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and posterior)"
5040,31253,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and posterior), including frontal sinus exploration, with removal of tissue from frontal sinus, when performed"
5041,31257,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and posterior), including sphenoidotomy"
5042,31259,"Nasal/sinus endoscopy, surgical with ethmoidectomy; total (anterior and posterior), including sphenoidotomy, with removal of tissue from the sphenoid sinus"
5043,31296,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); frontal sinus ostium"
5044,31295,"Nasal/sinus endoscopy, surgical, with dilation (eg, balloon dilation); maxillary sinus ostium, transnasal or via canine fossa"
5045,31276,"Nasal/sinus endoscopy, surgical, with frontal sinus exploration, including removal of tissue from frontal sinus, when performed"
5046,31256,"Nasal/sinus endoscopy, surgical, with maxillary antrostomy"
5047,31267,"Nasal/sinus endoscopy, surgical, with maxillary antrostomy; with removal of tissue from maxillary sinus"
5048,31287,"Nasal/sinus endoscopy, surgical, with sphenoidotomy"
5049,31288,"Nasal/sinus endoscopy, surgical, with sphenoidotomy; with removal of tissue from the sphenoid sinus"
5050,31237,"Nasal/sinus endoscopy, surgical; with biopsy, polypectomy or debridement (separate procedure)"
5051,31240,"Nasal/sinus endoscopy, surgical; with concha bullosa resection"
5052,50220,"Nephrectomy, including partial ureterectomy, any open approach including rib resection"
5053,50225,"Nephrectomy, including partial ureterectomy, any open approach including rib resection; complicated because of previous surgery on same kidney"
5054,64910,"Nerve repair; with synthetic conduit or vein allograft (eg, nerve tube), each nerve"
5055,64719,Neuroplasty and/or transposition; ulnar nerve at wrist
5056,64708,"Neuroplasty, major peripheral nerve, arm or leg, open; other than specified"
5057,64702,"Neuroplasty; digital, 1 or both, same digit"
5058,64704,Neuroplasty; nerve of hand or foot
5059,64582,"Open implantation of hypoglossal nerve neurostimulator array, pulse generator, and distal respiratory sensor electrode or electrode array"
5060,23550,"Open treatment of acromioclavicular dislocation, acute or chronic"
5061,28415,"Open treatment of calcaneal fracture, includes internal fixation, when performed"
5062,25628,"Open treatment of carpal scaphoid (navicular) fracture, includes internal fixation, when performed"
5063,21356,"Open treatment of depressed zygomatic arch fracture (eg, Gillies approach)"
5064,25609,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments
5065,27829,"Open treatment of distal tibiofibular joint (syndesmosis) disruption, includes internal fixation, when performed"
5066,27513,"Open treatment of femoral supracondylar or transcondylar fracture with intercondylar extension, includes internal fixation, when performed"
5067,27828,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal fixation, when performed; of both tibia and fibula"
5068,27827,"Open treatment of fracture of weight bearing articular surface/portion of distal tibia (eg, pilon or tibial plafond), with internal fixation, when performed; of tibia only"
5069,23630,"Open treatment of greater humeral tuberosity fracture, includes internal fixation, when performed"
5070,24579,"Open treatment of humeral condylar fracture, medial or lateral, includes internal fixation, when performed"
5071,24575,"Open treatment of humeral epicondylar fracture, medial or lateral, includes internal fixation, when performed"
5072,24546,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; with intercondylar extension"
5073,24545,"Open treatment of humeral supracondylar or transcondylar fracture, includes internal fixation, when performed; without intercondylar extension"
5074,26715,"Open treatment of metacarpophalangeal dislocation, single, includes internal fixation, when performed"
5075,28645,"Open treatment of metatarsophalangeal joint dislocation, includes internal fixation, when performed"
5076,24586,Open treatment of periarticular fracture and/or dislocation of the elbow (fracture distal humerus and proximal ulna and/or proximal radius)
5077,27784,"Open treatment of proximal fibula or shaft fracture, includes internal fixation, when performed"
5078,25575,"Open treatment of radial AND ulnar shaft fractures, with internal fixation, when performed; of radius AND ulna"
5079,24665,"Open treatment of radial head or neck fracture, includes internal fixation or radial head excision, when performed"
5080,25515,"Open treatment of radial shaft fracture, includes internal fixation, when performed"
5081,25526,"Open treatment of radial shaft fracture, includes internal fixation, when performed, and open treatment of distal radioulnar joint dislocation (Galeazzi fracture/ dislocation), includes internal fixation, when performed, includes repair of triangular fibrocartilage complex"
5082,23585,"Open treatment of scapular fracture (body, glenoid or acromion) includes internal fixation, when performed"
5083,23680,"Open treatment of shoulder dislocation, with surgical or anatomical neck fracture, includes internal fixation, when performed"
5084,28585,"Open treatment of talotarsal joint dislocation, includes internal fixation, when performed"
5085,28445,"Open treatment of talus fracture, includes internal fixation, when performed"
5086,28555,"Open treatment of tarsal bone dislocation, includes internal fixation, when performed"
5087,28465,"Open treatment of tarsal bone fracture (except talus and calcaneus), includes internal fixation, when performed, each"
5088,28615,"Open treatment of tarsometatarsal joint dislocation, includes internal fixation, when performed"
5089,27535,"Open treatment of tibial fracture, proximal (plateau); unicondylar, includes internal fixation, when performed"
5090,24685,"Open treatment of ulnar fracture, proximal end (eg, olecranon or coronoid process[es]), includes internal fixation, when performed"
5091,28111,"Ostectomy, complete excision; first metatarsal head"
5092,28112,"Ostectomy, complete excision; other metatarsal head (second, third or fourth)"
5093,28288,"Ostectomy, partial, exostectomy or condylectomy, metatarsal head, each metatarsal head"
5094,27415,"Osteochondral allograft, knee, open"
5095,27457,"Osteotomy, proximal tibia, including fibular excision or osteotomy (includes correction of genu varus [bowleg] or genu valgus [knock-knee]); after epiphyseal closure"
5096,28312,"Osteotomy, shortening, angular or rotational correction; other phalanges, any toe"
5097,28304,"Osteotomy, tarsal bones, other than calcaneus or talus"
5098,28305,"Osteotomy, tarsal bones, other than calcaneus or talus; with autograft (includes obtaining graft) (eg, Fowler type)"
5099,28309,"Osteotomy, with or without lengthening, shortening or angular correction, metatarsal; multiple (eg, Swanson type cavus foot procedure)"
5100,28300,"Osteotomy; calcaneus (eg, Dwyer or Chambers type procedure), with or without internal fixation"
5101,26565,"Osteotomy; metacarpal, each"
5102,27705,Osteotomy; tibia
5103,57423,"Paravaginal defect repair (including repair of cystocele, if performed), laparoscopic approach"
5104,26236,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); distal phalanx of finger"
5105,26230,"Partial excision (craterization, saucerization, or diaphysectomy) bone (eg, osteomyelitis); metacarpal"
5106,27641,"Partial excision (craterization, saucerization, or diaphysectomy), bone (eg, osteomyelitis); fibula"
5107,27640,"Partial excision (craterization, saucerization, or diaphysectomy), bone (eg, osteomyelitis); tibia"
5108,28124,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); phalanx of toe"
5109,28120,"Partial excision (craterization, saucerization, sequestrectomy, or diaphysectomy) bone (eg, osteomyelitis or bossing); talus or calcaneus"
5110,56700,Partial hymenectomy or revision of hymenal ring
5111,60210,"Partial thyroid lobectomy, unilateral; with or without isthmusectomy"
5112,27350,Patellectomy or hemipatellectomy
5113,57410,Pelvic examination under anesthesia (other than local)
5114,36836,"Percutaneous arteriovenous fistula creation, upper extremity, single access of both the peripheral artery and peripheral vein, including fistula maturation procedures (eg, transluminal balloon angioplasty, coil embolization) when performed, including all vascular access, imaging guidance and radiologic supervision and interpretation"
5115,26756,"Percutaneous skeletal fixation of distal phalangeal fracture, finger or thumb, each"
5116,28666,"Percutaneous skeletal fixation of interphalangeal joint dislocation, with manipulation"
5117,56810,"Perineoplasty, repair of perineum, nonobstetrical (separate procedure)"
5118,46020,Placement of seton
5119,54300,"Plastic operation of penis for straightening of chordee (eg, hypospadias), with or without mobilization of urethra"
5120,54304,Plastic operation on penis for correction of chordee or for first stage hypospadias repair with or without transplantation of prepuce and/or skin flaps
5121,54360,Plastic operation on penis to correct angulation
5122,56800,Plastic repair of introitus
5123,22840,"Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary procedure)"
5124,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (List separately in addition to code for primary procedure)"
5125,27495,"Prophylactic treatment (nailing, pinning, plating, or wiring) with or without methylmethacrylate, femur"
5126,55842,"Prostatectomy, retropubic radical, with or without nerve sparing; with lymph node biopsy(s) (limited pelvic lymphadenectomy)"
5127,24149,"Radical resection of capsule, soft tissue, and heterotopic bone, elbow, with contracture release (separate procedure)"
5128,22904,"Radical resection of tumor (eg, sarcoma), soft tissue of abdominal wall; less than 5 cm"
5129,28238,"Reconstruction (advancement), posterior tibial tendon with excision of accessory tarsal navicular bone (eg, Kidner type procedure)"
5130,24344,"Reconstruction lateral collateral ligament, elbow, with tendon graft (includes harvesting of graft)"
5131,21147,"Reconstruction midface, LeFort I; 3 or more pieces, segment movement in any direction, requiring bone grafts (includes obtaining autografts) (eg, ungrafted bilateral alveolar cleft or multiple osteotomies)"
5132,21141,"Reconstruction midface, LeFort I; single piece, segment movement in any direction (eg, for Long Face Syndrome), without bone graft"
5133,21145,"Reconstruction midface, LeFort I; single piece, segment movement in any direction, requiring bone grafts (includes obtaining autografts)"
5134,27420,"Reconstruction of dislocating patella; (eg, Hauser type procedure)"
5135,21196,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation"
5136,26502,"Reconstruction of tendon pulley, each tendon; with tendon or fascial graft (includes obtaining graft) (separate procedure)"
5137,26545,"Reconstruction, collateral ligament, interphalangeal joint, single, including graft, each joint"
5138,26541,"Reconstruction, collateral ligament, metacarpophalangeal joint, single; with tendon or fascial graft (includes obtaining graft)"
5139,28035,"Release, tarsal tunnel (posterior tibial nerve decompression)"
5140,53447,"Removal and replacement of inflatable urethral/bladder neck sphincter including pump, reservoir, and cuff at the same operative session"
5141,21029,"Removal by contouring of benign tumor of facial bone (eg, fibrous dysplasia)"
5142,46030,"Removal of anal seton, other marker"
5143,43285,Removal of esophageal sphincter augmentation device
5144,26320,Removal of implant from finger or hand
5145,22850,"Removal of posterior nonsegmental instrumentation (eg, Harrington rod)"
5146,11008,"Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in addition to code for primary procedure)"
5147,19330,"Removal of ruptured breast implant, including implant contents (eg, saline, silicone gel)"
5148,49623,"Removal of total or near total non-infected mesh or other prosthesis at the time of initial or recurrent anterior abdominal hernia repair or parastomal hernia repair, any approach (ie, open, laparoscopic, robotic) (List separately in addition to code for primary procedure)"
5149,57287,"Removal or revision of sling for stress incontinence (eg, fascia or synthetic)"
5150,26548,"Repair and reconstruction, finger, volar plate, interphalangeal joint"
5151,54163,Repair incomplete circumcision
5152,49525,"Repair inguinal hernia, sliding, any age"
5153,49553,"Repair initial femoral hernia, any age; incarcerated or strangulated"
5154,49550,"Repair initial femoral hernia, any age; reducible"
5155,49500,"Repair initial inguinal hernia, age 6 months to younger than 5 years, with or without hydrocelectomy; reducible"
5156,24343,"Repair lateral collateral ligament, elbow, with local tissue"
5157,30630,Repair nasal septal perforations
5158,49618,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including implantation of mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, incarcerated or strangulated"
5159,49617,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including implantation of mesh or other prosthesis when performed, total length of defect(s); greater than 10 cm, reducible"
5160,49614,"Repair of anterior abdominal hernia(s) (ie, epigastric, incisional, ventral, umbilical, spigelian), any approach (ie, open, laparoscopic, robotic), recurrent, including implantation of mesh or other prosthesis when performed, total length of defect(s); less than 3 cm, incarcerated or strangulated"
5161,67904,"Repair of blepharoptosis; (tarso) levator resection or advancement, external approach"
5162,67900,"Repair of brow ptosis (supraciliary, mid-forehead or coronal approach)"
5163,67917,"Repair of ectropion; extensive (eg, tarsal strip operations)"
5164,57270,"Repair of enterocele, abdominal approach (separate procedure)"
5165,57268,"Repair of enterocele, vaginal approach (separate procedure)"
5166,54344,"Repair of hypospadias complication(s) (ie, fistula, stricture, diverticula); requiring mobilization of skin flaps and urethroplasty with flap or patch graft"
5167,30465,"Repair of nasal vestibular stenosis (eg, spreader grafting, lateral nasal wall reconstruction)"
5168,24430,"Repair of nonunion or malunion, humerus; without graft (eg, compression technique)"
5169,25405,"Repair of nonunion or malunion, radius OR ulna; with autograft (includes obtaining graft)"
5170,25440,"Repair of nonunion, scaphoid carpal (navicular) bone, with or without radial styloidectomy (includes obtaining graft and necessary fixation)"
5171,49621,"Repair of parastomal hernia, any approach (ie, open, laparoscopic, robotic), initial or recurrent, including implantation of mesh or other prosthesis, when performed; reducible"
5172,23410,"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; acute"
5173,55060,Repair of tunica vaginalis hydrocele (Bottle type)
5174,26370,"Repair or advancement of profundus tendon, with intact superficialis tendon; primary, each tendon"
